NOTIFICATION_REFERENCE,NOTIF_DATE,ORIGIN_COUNTRY_DESC,NOTIFYNG_COUNTRY_DESC,PRODUCT_NAME,PRODUCT_CATEGORY_DESC,HAZARD_CATEGORY_NAME,substance,unauthorised_flag,NOTIFICATION_CLASSIFICAT_DESC,NOTIFICATION_BASIS_DESC,RISK_DECISION_DESC,DISTRIBUTION_STATUS_DESC,NOTIF_SUBJECT
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},pyrimethanil,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6249,2024-08-14,Türkiye,Romania,mere rosii/red apples,fruits and vegetables,diflubenzuron   - {pesticide residues},diflubenzuron,False,information notification for attention,official control on the market,potentially serious,no distribution from notifying country,Unauthorized pesticide - Diflubenzuron in red apple from Turkye // Pesticid neautorizat - Diflubenzuron in mere rosii origine Turcia 
2024.6011,2024-08-06,Türkiye,Germany,Vine leaves in brine,fruits and vegetables,dithiocarbamates   - {pesticide residues},dithiocarbamates,False,border rejection notification,border control - consignment detained,no risk,product not (yet) placed on the market,Dithiocarbamate in vine leaves in brine from Turkey
2024.5877,2024-07-31,Türkiye,Poland,Czereśnie // sweet cherries,fruits and vegetables,dimethoate   - {pesticide residues},dimethoate,False,information notification for attention,official control on the market,potentially serious,information on distribution not (yet) available,"Przekroczenie NDP dimetoatu w czereśniach odmiana Napoleon, kraj pochodzenia Turcja // Exceeding the MRL for dimethoate in Napoleon variety cherries, country of origin Türkiye"
2024.5826,2024-07-30,India,Netherlands,Drumsticks (Moringa oleifera),fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues} *** monocrotophos  unauthorised substance - {pesticide residues} *** permethrin  unauthorised substance - {pesticide residues},acephate,True,border rejection notification,border control - consignment detained,potentially serious,product not (yet) placed on the market,"acephate, methamidophos, monocrotophos and permethrin in drumstick from India"
2024.5826,2024-07-30,India,Netherlands,Drumsticks (Moringa oleifera),fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues} *** monocrotophos  unauthorised substance - {pesticide residues} *** permethrin  unauthorised substance - {pesticide residues},methamidophos,True,border rejection notification,border control - consignment detained,potentially serious,product not (yet) placed on the market,"acephate, methamidophos, monocrotophos and permethrin in drumstick from India"
2024.5826,2024-07-30,India,Netherlands,Drumsticks (Moringa oleifera),fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues} *** monocrotophos  unauthorised substance - {pesticide residues} *** permethrin  unauthorised substance - {pesticide residues},monocrotophos,True,border rejection notification,border control - consignment detained,potentially serious,product not (yet) placed on the market,"acephate, methamidophos, monocrotophos and permethrin in drumstick from India"
2024.5826,2024-07-30,India,Netherlands,Drumsticks (Moringa oleifera),fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** methamidophos  unauthorised substance - {pesticide residues} *** monocrotophos  unauthorised substance - {pesticide residues} *** permethrin  unauthorised substance - {pesticide residues},permethrin,True,border rejection notification,border control - consignment detained,potentially serious,product not (yet) placed on the market,"acephate, methamidophos, monocrotophos and permethrin in drumstick from India"
2024.5763,2024-07-26,India,Malta,Drumsticks ,fruits and vegetables,methamidophos  unauthorised substance - {pesticide residues},methamidophos,True,border rejection notification,border control - consignment detained,not serious,product allowed to travel to destination under customs seals,Methamidophos in drumsticks from India 
2024.5723,2024-07-25,India,Switzerland,"Guavas, mangoes and mangosteens",fruits and vegetables,clothianidin   - {pesticide residues} *** thiamethoxam   - {pesticide residues},clothianidin,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Unauthorised substances (pesticides) in Guavas from India
